wordform	frequency	dispersion
meet	44	0.6822612618646356
lois	2	0.9866738835180147
aunt	53	0.7794784784736513
negative	5	0.9017305408127978
umm	33	0.8460154460665655
leave	43	0.5895655891390117
ways	27	0.7754506773315691
true	31	0.6704104083033884
somehow	15	0.8390792500488637
bought	37	0.6084858143765693
model	7	0.936727258147775
t	6	0.9285531716558161
ford	3	0.9730320297895585
appropriate	4	0.9155628392296009
endings	3	0.9355645432083914
pollyanna	1	0.9866738835180147
seemed	28	0.7141024291721167
turn	36	0.6693671389360824
boring	1	0.9866738835180147
meg	1	0.9866738835180147
died	96	0.5954569544887313
dear	3	0.9595104569169007
traumatic	5	0.9467506627976324
swiss	1	0.9866738835180147
robinson	1	0.9866738835180147
found	51	0.6024355104463037
island	8	0.8744017280349616
fashioned	2	0.9786351129888288
implements	1	0.9866738835180147
coconut	1	0.9866738835180147
shells	3	0.9540326662757537
stones	4	0.9595906441540996
identify	3	0.9222384267264061
identified	3	0.9355645432083916
jo	3	0.9355645432083914
headstrong	1	0.9866738835180147
artistic	2	0.9702405115945731
sense	24	0.8203204482466561
humor	6	0.9094786326071375
main	18	0.7289571148632054
occasion	3	0.9511709842482194
person	78	0.5256327370564116
flaws	1	0.9866738835180147
unfolded	1	0.9866738835180147
learning	10	0.8494534738614664
conquer	1	0.9866738835180147
fears	2	0.9733477670360291
afterward	1	0.9866738835180147
certainly	18	0.8037918539790408
taught	23	0.7970593945558528
lesson	6	0.8817739421549317
start	62	0.5637540269432352
allowed	5	0.935950444287411
chose	10	0.9295805706324267
ones	36	0.6430937071395041
big	229	0.4260518178943467
grimm	3	0.9676043561716606
fairytales	2	0.9790059789608736
grim	1	0.9866738835180147
throwing	10	0.8398961575278273
oven	4	0.9573604366195064
however	7	0.9146607328111137
seem	11	0.8094049605829611
horrifying	1	0.9866738835180147
fiction	18	0.8978414598086533
backs	2	0.9760190043752159
cereal	3	0.9000616439385967
boxes	7	0.9650383645812972
hands	19	0.7347820318338053
classic	4	0.9612896112422505
comics	3	0.9866738835180147
ivanhoe	1	0.9866738835180147
disinherited	1	0.9866738835180147
knight	1	0.9866738835180147
into	238	0.3693702105340341
kinds	31	0.7317732065663645
heroic	1	0.9866738835180147
forgot	15	0.835971994607408
comic	2	0.9528398811224208
archie	3	0.9733477670360291
superheroes	1	0.9866738835180147
