wordform	frequency	dispersion
boys	296	0.9175877086040394
pedro	5	0.9980851792752441
bother	169	0.9279084194704307
huh	1833	0.5893878557851246
pay	1834	0.7069512984313463
count	93	0.9637199497529311
thirty	908	0.7458660237067939
leaving	88	0.9609350646143968
hours	530	0.8349377621535872
road	319	0.8973595597517279
walking	254	0.9156373939425745
cars	724	0.8858143856558869
cristobal	4	0.9987141935623254
favor	129	0.9576427705023777
move	380	0.8632436243711608
difficult	419	0.8571770283241614
suggest	29	0.9854854490291645
wait	434	0.8477611305138152
neighbors	108	0.9543862789699975
dawn	5	0.9969617190176516
stayed	232	0.9126133105349092
straightening	1	0.9987141935623254
night	1084	0.7039199610759115
needed	331	0.8744047082163892
finally	383	0.851834727884963
expensive	537	0.8320235556282575
professional	145	0.9530291760159754
us	183	0.9482566304216994
anywhere	243	0.900772224605631
hidden	35	0.9845085941623275
continued	35	0.9822946984404273
hid	8	0.9932147938728209
soldier	10	0.9960237531597321
rations	2	0.9987141935623254
plenty	126	0.9470026142055992
inform	1	0.9987141935623254
houses	241	0.9226651934110913
arrives	2	0.9983712912694175
fixing	56	0.9761807906814532
sun	120	0.9543655998938266
reflection	6	0.9968277679869383
weapon	60	0.98075981715993
pointing	6	0.9958080117531234
play	1131	0.798990255149432
innocent	85	0.9756378877712591
huge	243	0.9025311806517927
locked	55	0.9712878743452917
baby	341	0.8935654122389262
tiny	59	0.9752940595495667
happen	639	0.7826122920132478
ateltisate	1	0.9987141935623254
because	17	0.9840169259781658
covered	163	0.9338167710394161
cover	232	0.928545458473637
gunpoint	2	0.9987141935623254
followed	46	0.9830891453368683
opened	64	0.9663526739280065
god	468	0.8488415087700885
terror	7	0.9968067802678408
worse	277	0.8986672798372841
border	87	0.9732190531452256
honduras	5	0.9977123386183292
el	47	0.98677094682391
salvador	15	0.9954339365244957
passed	153	0.9377010422871676
river	144	0.9658054500168213
divided	22	0.9876987274652088
countries	317	0.925371374603008
filled	66	0.9675968135704126
men	413	0.9069324250671962
full	467	0.8317174558652012
pass	153	0.9368973361028897
clatter	1	0.9987141935623254
beasts	1	0.9987141935623254
weapons	126	0.9716959002959882
escaped	7	0.9954552328865215
dying	60	0.9700014506217617
surrounded	20	0.9889397806783358
rocks	36	0.9840335926962737
on	19	0.9847724838656902
washing	29	0.9879672468124903
victoria	15	0.9947360948644908
shortly	28	0.9811240158148635
order	272	0.9054012512384289
keep	1612	0.5853642718331769
trouble	428	0.8416806841996417
suffered	12	0.9946401069139106
terrible	305	0.8779968456692764
threat	99	0.9839601356794311
sir	44	0.9860505742301673
gone	885	0.6959882539917848
seen	1275	0.7056114298101498
anyone	250	0.9038910613921656
deserve	49	0.9824391433306897
tongue	15	0.9905907116997276
out	142	0.9366192488248427
covering	24	0.9871505776252395
in	43	0.9771348059716225
mountain	85	0.9712931212750657
throng	1	0.9987141935623254
shot	219	0.9258204500631175
cercos	1	0.9987141935623254
of	8	0.9907113910845396
ijiote	1	0.9987141935623254
poles	14	0.9931786826502556
fresh	100	0.9658464995262334
shooting	93	0.9701082410748183
bazookas	2	0.9987141935623254
tops	19	0.9927607801258646
trees	313	0.9276488507680579
falling	63	0.9717968265334156
fell	100	0.9522399760493095
roof	106	0.9625146991194424
teja	2	0.9987141935623254
tile	15	0.9947894900910188
shapes	3	0.9976876471840967
shaped	6	0.9952524544828842
tejas	1	0.9987141935623254
rounded	17	0.9889215707455893
long	2250	0.4716113417359653
top	512	0.8304000938274492
orange	33	0.9883845320510252
fired	42	0.9813956215914247
clay	14	0.9933472016888942
dust	41	0.9856777335732524
tiles	8	0.9969682005191381
destroying	10	0.9958277649005091
bullets	12	0.9944055382886987
niece	28	0.9871332936212767
mine	663	0.7792809697004025
nephew	26	0.9876153938746726
water	718	0.8471043056023729
firefight	3	0.9987141935623254
boy	841	0.728418410621846
faint	4	0.9976246840268029
purple	27	0.9910749724536184
indicates	9	0.9960697409559912
mouth	71	0.9716286161377046
stopped	165	0.929834659983519
breathing	21	0.991269417498202
floor	156	0.947590887626197
grabbed	22	0.9876746533168319
put	3111	0.47943437297397007
bed	210	0.9172167198046908
window	122	0.9561899882407047
facing	31	0.9875761962228274
guerrilla	3	0.9982555501714516
lying	26	0.9871407010515465
ground	214	0.9186877119991115
firing	21	0.9921684943472049
bedroom	162	0.9499445985944402
size	259	0.9076923076923078
flame	11	0.9957777647461875
rif	1	0.9987141935623254
bullet	29	0.9873678622464883
small	881	0.7401878505258348
danger	37	0.986736070173056
tired	160	0.9340062777971543
stretched	8	0.9957583202417292
broke	101	0.9573325843598287
leg	51	0.9756184432668007
moaning	3	0.9977833264917485
carrying	74	0.971937259065615
firefights	2	0.9987141935623254
sai	1	0.9987141935623254
carolina	190	0.9426930330031894
principal	51	0.9810980898089193
trincheras	2	0.9987141935623254
mounds	4	0.997722523834951
