lexeme	frequency	dispersion
ʔani	0.867798230934736	1
suw̓aːs	0.867798230934736	2
ɬic-w̓isa	0.867798230934736	2
haːciq	0.867798230934736	1
su-uːɬ	0.867798230934736	1
čisk-at	0.867798230934736	1
m̓uč-(q)u·(ƛ)	0.867798230934736	1
ʔaya-(č)iɬ	0.867798230934736	1
ʔiːnax-y̓aƛ	0.867798230934736	1
hiš-ʽiqsa-ʼatḥ	0.867798230934736	1
naːḥtač	0.867798230934736	1
ƛut-ƛuɬ	0.867798230934736	1
naːḥtač-m̓i·t	0.867798230934736	1
ḥuksum-m̓i·t	0.867798230934736	1
muːčʔaːʔa	0.867798230934736	1
qʷiš-tu·p	0.867798230934736	1
hiš-siːk	0.867798230934736	1
qum̓aː-ʔis	0.867798230934736	1
ʔana-imɬ	0.867798230934736	1
ʔaani	0.867798230934736	1
ɬic	0.867798230934736	2
muːḥinƛ	0.867798230934736	1
ƛ̓iːxʷ-ma-(q)u·ɬ	0.867798230934736	1
yaːc-i	0.867798230934736	1
ƛuɬ-aq	0.867798230934736	1
ḥiːx	0.867798230934736	2
hiš-yuːya	0.867798230934736	1
ḥaːy̓i	0.867798230934736	1
ʔax̣ʷ-yu·	0.867798230934736	1
nuːsčiː	0.867798230934736	2
t̓uc̓up	0.867798230934736	1
ḥačy̓im-štu·p	0.867798230934736	1
t̓aps-(y)a·	0.867798230934736	1
čim-c̓aq	0.867798230934736	1
hinic-ʼa·ʔa	0.867798230934736	1
čaq-ʔatu	0.867798230934736	1
c̓ic̓iša	0.867798230934736	2
nasqʷ	0.867798230934736	1
putq-w̓isa·	0.867798230934736	1
waxʷ-ckʷi·	0.867798230934736	1
c̓iš	0.867798230934736	1
ʕaqƛ-ʼakƛi	0.867798230934736	1
qač-l	0.867798230934736	2
qačaː	0.867798230934736	1
qʷaː-ʔuk	0.867798230934736	1
qač	0.867798230934736	1
a·s	0.8680372938082715	2
t̓apat	0.8692326081759504	8
k̓ama	0.8692326081759504	3
wik-ʼaḥs	0.8693521396127182	3
