item	gloss	aspect	frequency	rel_freq	flexibility	flexibility_broad	definite	ger	inf	mod	pred	precxn	ref	mod_rel	pred_rel	ref_rel	pred_rel_broad	ref_rel_broad	dispersion	dispersion_ref	dispersion_pred	dispersion_mod	dispersion_ref_broad	dispersion_pred_broad	dispersion_norm	dispersion_ref_norm	dispersion_pred_norm	dispersion_mod_norm	language
pretty		NA	3808	1.16989786435268	0.170066420472755	0.576628518486194	0	0	0	51	1	104	1	0.0156682749690091	0.000307221077823707	0.000307221077823707	0.0319509920936656	0	0.439772988294761	0.999723501029958	0.999667586793795	0.978375937216299	1	0.963754978901592	0.439789877384779	0.999761894520808	0.999705978137309	0.97841351087297	English
problem		NA	2429	0.746239998033785	0.0157495988437219	0	0	0	0	6	0	0	2422	0.00184332646694224	0	0.744089450489019	0	0	0.547631373584181	0.54861897345598	1	0.997493076004957	1	1	0.547652404879444	0.548640042679136	1	0.997531383838321	English
put		NA	3571	1.09708646890846	0.109485797528834	0.468083934707162	0	163	671	36	2288	116	16	0.0110599588016535	0.702921826060642	0.00491553724517932	0.03563764502755	0.256222378904972	0.458428619583082	0.994065410439679	0.521839477932131	0.979880091613324	0.734558175145697	0.947042152267982	0.458446225126008	0.994103586636599	0.521859518712608	0.979917723035705	English
real		NA	3500	1.07527377238298	0.0103864376131629	0.147562130566703	0	0	0	655	1	26	0	0.201229805974528	0.000307221077823707	0	0.00798774802341639	0	0.434055455160097	1	0.999292777078847	0.764754983509908	1	0.982820811770252	0.434072124673346	1	0.999331154028128	0.764784353244072	English
right		NA	9104	2.79694069250703	0.679797538916316	0.433144089769979	0	0	0	305	7	1362	312	0.0937024287362307	0.00215054754476595	0.0958529762809967	0.418435107995889	0	0.308301649033702	0.917640589977904	0.997280479019104	0.879785595949839	1	0.647327321774742	0.308313489084005	0.917675831147647	0.997318778687869	0.879819383332244	English
run		NA	1662	0.510601431343002	0.50862159252491	0.663849867777251	0	185	152	106	1038	25	97	0.032565434249313	0.318895478781008	0.0298004445488996	0.00768052694559268	0.103533503226589	0.607840437734801	0.964255134816288	0.701600377636859	0.955152481501449	0.884975814020646	0.989399336709692	0.607863781305559	0.964292166176117	0.70162732197462	0.955189163281983	English
say		NA	8784	2.69862994760344	0.0953993103899978	0.385394186267286	0	187	671	96	7385	21	45	0.0294932234710759	2.26882765972808	0.0138249485020668	0.00645164263429785	0.263595684772741	0.302662324663328	0.98068961915339	0.323610109873563	0.955922070301398	0.696436041067123	0.989986436189413	0.3026739481404	0.980727281664956	0.323622537831673	0.955958781637304	English
see		NA	8267	2.53979665036859	0.0560977138329685	0.10064069249319	0	139	1294	11	5563	18	46	0.00337943185606078	1.70907085593328	0.0141321695798905	0.00552997940082673	0.440247804521373	0.343391255935783	0.990502874821236	0.39467705397312	0.993585838337195	0.632409178993571	0.990027296592763	0.343404443571193	0.990540914202147	0.394692211193936	0.993623996116575	English
seven		NA	695	0.213518649087477	0.361401632860936	0.172818337199927	0	0	0	344	0	17	54	0.105684050771355	0	0.0165899382024802	0.00522275832300302	0	0.766967631706643	0.976102808461482	1	0.868127810112796	1	0.989469383115435	0.76699708641559	0.976140294820667	1	0.868161149788316	English
six		NA	1185	0.364056977221093	0.288461624416578	0.0958158765951952	0	0	0	760	0	17	81	0.233488019146018	0	0.0248849073037203	0.00522275832300302	0	0.648273885179778	0.960345132158826	1	0.733449923732369	1	0.991162478475322	0.648298781561081	0.960382013358484	1	0.733478091223587	English
something		NA	5418	1.66452379964885	0	0	0	0	0	0	0	315	5092	0	0	1.56436972827832	0.0967746395144678	0	0.340662839784152	0.347052353612653	1	1	1	0.867725569944474	0.34067592263717	0.34706568184926	1	1	English
