item	frequency	REF	PRED	MOD	dispersion	dispersionREF	dispersionPRED	dispersionMOD	dispersionNorm	dispersionREFNorm	dispersionPREDNorm	dispersionMODNorm	gloss
c̓iːḥatiq	1	0	1	0	0.9819507530480517	1	0.9819507530480517	1	0.9894014211730701	1	0.9894014211730701	1	arrow
c̓iḥati-iːyas	1	0	1	0	0.867798230934736	1	0.867798230934736	1	0.8743827532217272	1	0.8743827532217272	1	arrow-on.the.shoulder?
c̓us	4	0	4	0	0.8343294286397323	1	0.8343294286397323	1	0.8406600024087679	1	0.8406600024087679	1	dig
c̓us-kʷis	1	0	1	0	0.9769304327038011	1	0.9769304327038011	1	0.9843430085511261	1	0.9843430085511261	1	dig-move.from
c̓us-ʼi·(ƛ)	1	0	1	0	0.9884054506335167	1	0.9884054506335167	1	0.9959050945441408	1	0.9959050945441408	1	dig-on.the.ground
c̓us-ʼi·tap	3	0	3	0	0.9896007650011953	1	0.9896007650011953	1	0.9971094785017464	1	0.9971094785017464	1	dig-on.the.ground
c̓us-ʼi·tap-w̓it̓as	1	0	1	0	0.9896007650011953	1	0.9896007650011953	1	0.9971094785017464	1	0.9971094785017464	1	dig-on.the.ground-about.to
c̓uš	1	0	1	0	0.887042792254363	1	0.887042792254363	1	0.8937733349391788	1	0.8937733349391788	1	new
c̓uʔičḥ	4	1	3	0	0.9158498685154195	0.9158498685154195	0.9158498685154195	1	0.9227989883174755	0.9227989883174755	0.9227989883174755	1	winter
dup	1	0	1	0	0.867798230934736	1	0.867798230934736	1	0.8743827532217272	1	0.8743827532217272	1	??
dup#	1	1	0	0	0.8856084150131484	0.8856084150131484	1	1	0.8923280741900517	0.8923280741900517	1	1	??
dup#-cik	1	0	1	0	0.8911068611044705	1	0.8911068611044705	1	0.897868240395038	1	0.897868240395038	1	??-aslant
dup#-c̓iːq	1	0	1	0	0.887042792254363	1	0.887042792254363	1	0.8937733349391788	1	0.8937733349391788	1	??-sing
dup#-mukʷ	1	0	1	0	0.887042792254363	1	0.887042792254363	1	0.8937733349391788	1	0.8937733349391788	1	??-run.on.the.fours
dup#-qʷaː	2	1	1	0	0.8911068611044705	0.8911068611044705	0.8911068611044705	1	0.897868240395038	0.897868240395038	0.897868240395038	1	??-thus
dup#-wiːq-y̓a·	1	0	1	0	0.8911068611044705	1	0.8911068611044705	1	0.897868240395038	1	0.897868240395038	1	??-stormy-troubled.by
dup#-ɬaːkʷ	1	0	1	0	0.8911068611044705	1	0.8911068611044705	1	0.897868240395038	1	0.897868240395038	1	??-please.do
dup-ciq	1	0	1	0	0.867798230934736	1	0.867798230934736	1	0.8743827532217272	1	0.8743827532217272	1	??-speak
dup-ciq-inkʷ	1	0	1	0	0.8911068611044705	1	0.8911068611044705	1	0.897868240395038	1	0.897868240395038	1	??-speak-converse.with
dup-c̓iq-ink	2	0	2	0	0.8911068611044705	1	0.8911068611044705	1	0.897868240395038	1	0.897868240395038	1	??-pray-converse.with
dup-hin-ataḥ	2	0	2	0	0.853095864212288	1	0.853095864212288	1	0.8595688305431773	1	0.8595688305431773	1	??-there.MOM-trying.to.catch
dup-hitawa	1	1	0	0	0.867798230934736	0.867798230934736	1	1	0.8743827532217272	0.8743827532217272	1	1	??-say.nasty.things
dup-n̓ač	1	0	1	0	0.8856084150131484	1	0.8856084150131484	1	0.8923280741900517	1	0.8923280741900517	1	??-see
dup-n̓ač-paɬ	1	0	1	0	0.8911068611044705	1	0.8911068611044705	1	0.897868240395038	1	0.897868240395038	1	??-see-on.each.side
dup-p̓iš	1	0	1	0	0.867798230934736	1	0.867798230934736	1	0.8743827532217272	1	0.8743827532217272	1	??-bad
dup-qac	1	0	1	0	0.9158498685154195	1	0.9158498685154195	1	0.9227989883174755	1	0.9227989883174755	1	??-three
dup-sakʷ	2	0	2	0	0.8911068611044705	1	0.8911068611044705	1	0.897868240395038	1	0.897868240395038	1	??-joke.about
dup-tin-ʕin	1	0	1	0	0.8911068611044705	1	0.8911068611044705	1	0.897868240395038	1	0.897868240395038	1	??-make.pinging.sound-make.sound
dup-tušk	1	0	1	0	0.9203920631125987	1	0.9203920631125987	1	0.9273756473563773	1	0.9273756473563773	1	??-cod
dup-č̓iːk	1	0	1	0	0.887042792254363	1	0.887042792254363	1	0.8937733349391788	1	0.8937733349391788	1	??-fast
dup-ƛuɬ-wa·	1	0	1	0	0.867798230934736	1	0.867798230934736	1	0.8743827532217272	1	0.8743827532217272	1	??-nice-say
dup-ʔana-(č)ink	1	0	1	0	0.8856084150131484	1	0.8856084150131484	1	0.8923280741900517	1	0.8923280741900517	1	??-only-together.with
dup-ʔani	1	0	1	0	0.867798230934736	1	0.867798230934736	1	0.8743827532217272	1	0.8743827532217272	1	??-only
dup-ʔaya-ʼaqƛ	1	0	1	0	0.887042792254363	1	0.887042792254363	1	0.8937733349391788	1	0.8937733349391788	1	??-many-inside
dup-ʔiq-m̓a·	1	0	1	0	0.887042792254363	1	0.887042792254363	1	0.8937733349391788	1	0.8937733349391788	1	??-same-amount
dup-ʔu	8	0	8	0	0.7040401625627539	1	0.7040401625627539	1	0.7093821510297482	1	0.7093821510297482	1	??-it
dup-ʔu-(kʷ)ink	2	0	2	0	0.7589050920392064	1	0.7589050920392064	1	0.7646633746838494	1	0.7646633746838494	1	??-it-compete.with
dup-ʔu-kʷiɬ	2	0	2	0	0.867798230934736	1	0.867798230934736	1	0.8743827532217272	1	0.8743827532217272	1	??-it-with.ref.to
dup-ʔu-ʼiːḥ	5	0	5	0	0.5951470236672247	1	0.5951470236672247	1	0.5996627724918706	1	0.5996627724918706	1	??-it-hunting
dup-ʔukʷa	1	0	1	0	0.867798230934736	1	0.867798230934736	1	0.8743827532217272	1	0.8743827532217272	1	??-oneself
dup-ʔu·q	2	1	0	1	0.7881902940473345	0.867798230934736	1	0.9203920631125987	0.7941707816451886	0.8743827532217272	1	0.9273756473563773	??-good
dup-ʔuːq	3	0	1	2	0.679297155151805	1	0.8911068611044705	0.7881902940473345	0.6844514031073107	1	0.897868240395038	0.7941707816451886	??-desirable
dup.ƛ-n̓i	1	0	1	0	0.9661726033946928	1	0.9661726033946928	1	0.973503552932675	1	0.973503552932675	1	??-sew
dupcv-č̓iḥ-ḥɬi	1	0	1	0	0.9884054506335167	1	0.9884054506335167	1	0.9959050945441408	1	0.9959050945441408	1	??-supernatural-doing.excessively?
dupcv-č̓iḥ-ḥɬi·	1	0	1	0	0.9884054506335167	1	0.9884054506335167	1	0.9959050945441408	1	0.9959050945441408	1	??-supernatural-doing.excessively?
dupcv-ʔu·q	1	0	1	0	0.9782452785082476	1	0.9782452785082476	1	0.9856678309044923	1	0.9856678309044923	1	??-good
dupcvː-c̓iːk	1	0	1	0	0.9751374611522831	1	0.9751374611522831	1	0.9825364326147176	1	0.9825364326147176	1	??-imitate
dupcvː-c̓iːk-iːk-kʷačiƛ	1	0	1	0	0.9751374611522831	1	0.9751374611522831	1	0.9825364326147176	1	0.9825364326147176	1	??-imitate-one.who.always.does-because.of
dupː-humt-ʼas	1	1	0	0	0.8911068611044705	0.8911068611044705	1	1	0.897868240395038	0.897868240395038	1	1	??-crosswise-on.the.ground
dupː-yaqʷ-uː	1	1	0	0	0.8911068611044705	0.8911068611044705	1	1	0.897868240395038	0.897868240395038	1	1	??-who-acting.together.with
dupː-ƛ̓ay̓ixʷ	2	0	2	0	0.8911068611044705	1	0.8911068611044705	1	0.897868240395038	1	0.897868240395038	1	??-fast
hakʷiːḥa	1	0	1	0	0.977049964140569	1	0.977049964140569	1	0.9844634469468867	1	0.9844634469468867	1	starve
hamip	1	0	1	0	0.867798230934736	1	0.867798230934736	1	0.8743827532217272	1	0.8743827532217272	1	recognize
hamu·t	2	0	0	0	0.9566100884532632	1	1	1	0.9638684812718296	1	1	1	bone
hamuːt	2	2	0	0	0.8545302414535023	0.8545302414535023	1	1	0.8610140912923041	0.8610140912923041	1	1	
hap	5	5	0	0	0.8014582835285681	0.8014582835285681	1	1	0.8075394435746117	0.8075394435746117	1	1	fur
hapsy̓up	1	0	0	1	0.9158498685154195	1	1	0.9158498685154195	0.9227989883174755	1	1	0.9227989883174755	
hapt	13	1	12	0	0.56454697585465	0.9566100884532632	0.56454697585465	1	0.5688305431771651	0.9638684812718296	0.5688305431771651	1	hide
hapt-kʷa	1	0	1	0	0.8856084150131484	1	0.8856084150131484	1	0.8923280741900517	1	0.8923280741900517	1	in.hiding-dispersed
hapt-ʽiɬ	1	0	1	0	0.9884054506335167	1	0.9884054506335167	1	0.9959050945441408	1	0.9959050945441408	1	in.hiding-in.the.house
hapumy̓amum	2	2	0	0	0.9690413578771216	0.9690413578771216	1	1	0.9763940744309286	0.9763940744309286	1	1	animal.fur
hapumy̓um	1	1	0	0	0.9765718383934975	0.9765718383934975	1	1	0.9839816933638444	0.9839816933638444	1	1	fur
hask̓aːmac	3	3	0	0	0.867798230934736	0.867798230934736	1	1	0.8743827532217272	0.8743827532217272	1	1	
hatk	5	1	3	0	0.7483863256036338	0.8911068611044705	0.8572794644991634	1	0.7540647958569193	0.897868240395038	0.8637841743947972	1	roll
hatkʷ	1	0	1	0	0.9894812335644274	1	0.9894812335644274	1	0.9969890401059858	1	0.9969890401059858	1	roll
hatkʷ-c̓u·-san̓ap	1	0	1	0	0.9769304327038011	1	0.9769304327038011	1	0.9843430085511261	1	0.9843430085511261	1	roll-inside-on.the.beach
hatkʷ-misa	2	0	2	0	0.9769304327038011	1	0.9769304327038011	1	0.9843430085511261	1	0.9843430085511261	1	roll-on.top
hat̓inq	2	0	2	0	0.8573989959359312	1	0.8573989959359312	1	0.8639046127905576	1	0.8639046127905576	1	bathing
hat̓iːs	3	0	3	0	0.8766435572555584	1	0.8766435572555584	1	0.8832951945080094	1	0.8832951945080094	1	
hat̓iːs-ckʷi·	2	0	2	0	0.9660530719579249	1	0.9660530719579249	1	0.9733831145369144	1	0.9733831145369144	1	bathing-having.happened
hawiɬ	1	0	1	0	0.887042792254363	1	0.887042792254363	1	0.8937733349391788	1	0.8937733349391788	1	finish
hawiɬ-čaq	15	1	14	0	0.7577735277711372	0.8911068611044705	0.7482497182473276	1	0.7635232245373159	0.897868240395038	0.7539271519760499	1	finish-done
hawiɬ-ʔaːɬ	1	0	1	0	0.9765718383934975	1	0.9765718383934975	1	0.9839816933638444	1	0.9839816933638444	1	finish-always
hawiː	1	1	0	0	0.9906765479321061	0.9906765479321061	1	1	0.9981934240635915	0.9981934240635915	1	1	finish
hawiː(ƛ)	2	0	2	0	0.9158498685154195	1	0.9158498685154195	1	0.9227989883174755	1	0.9227989883174755	1	finish
haw̓	1	0	1	0	0.9751374611522831	1	0.9751374611522831	1	0.9825364326147176	1	0.9825364326147176	1	eat
haw̓-a·ḥin	1	0	1	0	0.9769304327038011	1	0.9769304327038011	1	0.9843430085511261	1	0.9843430085511261	1	eat-deprive.of
haw̓a	2	0	2	0	0.9551757112120487	1	0.9551757112120487	1	0.9624232205227026	1	0.9624232205227026	1	eat
haw̓a-api	1	0	1	0	0.9782452785082476	1	0.9782452785082476	1	0.9856678309044923	1	0.9856678309044923	1	eat-excessively
haw̓a-awiːqš	1	0	1	0	0.9751374611522831	1	0.9751374611522831	1	0.9825364326147176	1	0.9825364326147176	1	eat-calling.for
haw̓a-ca·q	1	0	1	0	0.9782452785082476	1	0.9782452785082476	1	0.9856678309044923	1	0.9856678309044923	1	eat-busy.eating
haw̓a-ʼa·s	1	0	1	0	0.9751374611522831	1	0.9751374611522831	1	0.9825364326147176	1	0.9825364326147176	1	eat-go.in.order.to
haw̓iːqstu(ƛ)	3	0	3	0	0.8460435094429836	1	0.8460435094429836	1	0.8524629651933037	1	0.8524629651933037	1	get.hungry
hayaːqƛ	1	0	1	0	0.9896007650011953	1	0.9896007650011953	1	0.9971094785017464	1	0.9971094785017464	1	
hayim	8	0	8	0	0.5191549127420513	1	0.5191549127420513	1	0.5230940623870891	1	0.5230940623870891	1	not.knowing
hayum	1	0	1	0	0.9789624671288549	1	0.9789624671288549	1	0.9863904612790558	1	0.9863904612790558	1	not.knowing
hačɬ	1	1	0	0	0.8856084150131484	0.8856084150131484	1	1	0.8923280741900517	0.8923280741900517	1	1	west.wind
hačɬatuqʷak	1	0	0	0	0.9203920631125987	1	1	1	0.9273756473563773	1	1	1	
hačɬiː(ƛ)	2	0	2	0	0.8856084150131484	1	0.8856084150131484	1	0.8923280741900517	1	0.8923280741900517	1	westerly.wind.blowing
hačɬiːƛ	1	0	1	0	0.9203920631125987	1	0.9203920631125987	1	0.9273756473563773	1	0.9273756473563773	1	west
hačʔinštup	1	1	0	0	0.9158498685154195	0.9158498685154195	1	1	0.9227989883174755	0.9227989883174755	1	1	
hač̓a	3	0	3	0	0.8060004781257469	1	0.8060004781257469	1	0.8121161026135131	1	0.8121161026135131	1	
hašiy̓in	1	0	1	0	0.9789624671288549	1	0.9789624671288549	1	0.9863904612790558	1	0.9863904612790558	1	hear.about
haši·	2	0	2	0	0.9555343055223523	1	0.9555343055223523	1	0.9627845357099843	1	0.9627845357099843	1	hear.about
hašiɬ	1	0	1	0	0.887042792254363	1	0.887042792254363	1	0.8937733349391788	1	0.8937733349391788	1	hear.about
hašiː	2	0	2	0	0.7726512072675115	1	0.7726512072675115	1	0.7785137901963147	1	0.7785137901963147	1	hear.about?
haɬa·q	1	0	1	0	0.9884054506335167	1	0.9884054506335167	1	0.9959050945441408	1	0.9959050945441408	1	pay
haɬim̓aː	2	0	2	0	0.887042792254363	1	0.887042792254363	1	0.8937733349391788	1	0.8937733349391788	1	??
haɬmi·ḥa	1	0	1	0	0.9765718383934975	1	0.9765718383934975	1	0.9839816933638444	1	0.9839816933638444	1	
haʔuk	29	0	29	0	0.4201694873337895	1	0.4201694873337895	1	0.4233575732909169	1	0.4233575732909169	1	eat
haʔuk.	1	0	1	0	0.9751374611522831	1	0.9751374611522831	1	0.9825364326147176	1	0.9825364326147176	1	
haʔukʷ	4	0	4	0	0.8415013148458047	1	0.8415013148458047	1	0.8478863061544023	1	0.8478863061544023	1	eat
haʔum	11	8	3	0	0.5974072544715624	0.6697645230695674	0.8715037054745398	1	0.6019401530662521	0.6748464410454054	0.8781163434903048	1	
haʔum-caqa	1	0	1	0	0.887042792254363	1	0.887042792254363	1	0.8937733349391788	1	0.8937733349391788	1	food-busy.with.gathering
haʔum-i·ty̓a·p	1	0	1	0	0.9765718383934975	1	0.9765718383934975	1	0.9839816933638444	1	0.9839816933638444	1	food-bring.as.gift
haʔum-na·k	1	0	1	0	0.9751374611522831	1	0.9751374611522831	1	0.9825364326147176	1	0.9825364326147176	1	food-having
haː	9	1	1	0	0.49730390203734687	0.9674874491991394	0.867798230934736	1	0.5010772545398584	0.9748283752860413	0.8743827532217272	1	
haːciq	1	0	1	0	0.867798230934736	1	0.867798230934736	1	0.8743827532217272	1	0.8743827532217272	1	not.satisfied?
haːʔin	1	0	1	0	0.9924695194836242	1	0.9924695194836242	1	1	1	1	1	
haːʕin	3	0	3	0	0.9693999521874254	1	0.9693999521874254	1	0.9767553896182104	1	0.9767553896182104	1	invite
haːʕin-yu	1	0	1	0	0.9566100884532632	1	0.9566100884532632	1	0.9638684812718296	1	0.9638684812718296	1	call.out-several.doing
hicnup	7	4	3	0	0.6987807793449677	0.8625388477169496	0.8131723643318193	1	0.7040828616162833	0.8690834638082621	0.8193424063591473	1	
hihiq	7	7	0	0	0.9252928520200814	0.9252928520200814	1	1	0.9323136215825607	0.9323136215825607	1	1	various
himwic̓a	2	0	2	0	0.7836480994501555	1	0.7836480994501555	1	0.7895941226062869	1	0.7895941226062869	1	story
himwic̓aq-y̓akʷ	2	2	0	0	0.887042792254363	0.887042792254363	1	1	0.8937733349391788	0.8937733349391788	1	1	relating.myth-instrument
hin	23	0	23	0	0.503975719527279	1	0.503975719527279	1	0.5077996952384941	1	0.5077996952384941	1	there
hin-(w)a(ƛ)	1	0	1	0	0.9769304327038011	1	0.9769304327038011	1	0.9843430085511261	1	0.9843430085511261	1	there-find
hin-(y)i·	1	0	1	0	0.8856084150131484	1	0.8856084150131484	1	0.8923280741900517	1	0.8923280741900517	1	there.MOM-give
hin-as	6	0	6	0	0.8296677026057853	1	0.8296677026057853	1	0.8359629049741057	1	0.8359629049741057	1	there.MOM-reaching.to
hin-as-matak	1	0	1	0	0.8911068611044705	1	0.8911068611044705	1	0.897868240395038	1	0.897868240395038	1	there.MOM-reaching.to-probably
hin-at	3	0	3	0	0.8566818073153238	1	0.8566818073153238	1	0.8631819824159942	1	0.8631819824159942	1	there-come
