item	gloss	frequency	rel_freq	flexibility	flexibility_broad	ger	inf	mod	pred	precxn	ref	mod_rel	pred_rel	ref_rel	pred_rel_broad	ref_rel_broad	dispersion	dispersion_ref	dispersion_pred	dispersion_mod	dispersion_ref_broad	dispersion_pred_broad	dispersion_norm	dispersion_ref_norm	dispersion_pred_norm	dispersion_mod_norm
paint		490	0.1505383281336166	0.9190607914108494	0.7179095883511444	101	29	47	139	13	131	0.014439390657714244	0.04270372981749532	0.04024596119490566	0.003993874011708195	0.039938740117081956	0.9536333798585166	0.9813876254422057	0.9762327629774017	0.9858546199137623	0.9817756456634966	0.9966174959331592	0.9536700032993043	0.9814253147600812	0.9762702543273745	0.9858924807825828
pay		2979	0.9152115908368241	0.3218853922455441	0.5493991318059429	200	632	80	1789	108	89	0.024577686225896588	0.5496185082266124	0.027342675926309953	0.03317987640496039	0.25560793674932447	0.6482997515402908	0.9712871180665956	0.7011703430687373	0.9750776117247848	0.7963151161721049	0.9603346866421801	0.6483246489149683	0.9713244194834795	0.7011972708914036	0.9751150587122023
person		1149	0.3529970184194397	0.013338939030954233	0	0	0	1	1	0	1089	0.0003072210778237073	0.0003072210778237073	0.3345637537500173	0	0	0.69081425381148	0.6988524569123398	0.9996893994903202	0.9996282624958306	1	1	0.6908407839177599	0.6988792957186523	0.9997277916715311	0.9996666523291298
pretty		3808	1.1698978643526776	0.1700664204727554	0.5766285184861936	0	0	51	1	104	1	0.015668274969009074	0.0003072210778237073	0.0003072210778237073	0.03195099209366556	0	0.4397729882947607	0.9997235010299579	0.9996675867937937	0.9783759372162993	1	0.9637549789015922	0.439789877384779	0.9997618945208081	0.9997059781373075	0.9784135108729703
problem		2429	0.7462399980337852	0.0157495988437219	0	0	0	6	0	0	2422	0.001843326466942244	0	0.7440894504890192	0	0	0.5476313735841812	0.5486189734559805	1	0.9974930760049578	1	1	0.5476524048794438	0.5486400426791367	1	0.9975313838383211
put		3571	1.097086468908459	0.1094857975288338	0.4680839347071621	163	671	36	2288	116	16	0.011059958801653464	0.7029218260606424	0.004915537245179317	0.03563764502755005	0.2562223789049719	0.4584286195830818	0.9940654104396793	0.5218394779321317	0.9798800916133246	0.7345581751456967	0.9470421522679823	0.45844622512600774	0.9941035866365987	0.5218595187126082	0.9799177230357058
real		3500	1.0752737723829757	0.010386437613162908	0.1475621305667026	0	0	655	1	26	0	0.2012298059745283	0.0003072210778237073	0	0.00798774802341639	0	0.43405545516009686	1	0.999292777078847	0.7647549835099081	1	0.9828208117702519	0.43407212467334627	1	0.9993311540281274	0.7647843532440715
right		9104	2.7969406925070315	0.679797538916316	0.43314408976997926	0	0	305	7	1362	312	0.09370242873623073	0.002150547544765951	0.09585297628099669	0.4184351079958894	0	0.30830164903370183	0.9176405899779049	0.9972804790191042	0.8797855959498398	1	0.647327321774742	0.30831348908400485	0.9176758311476472	0.9973187786878696	0.8798193833322445
run		1662	0.5106014313430016	0.5086215925249102	0.6638498677772511	185	152	106	1038	25	97	0.03256543424931298	0.3188954787810082	0.029800444548899612	0.007680526945592683	0.10353350322658937	0.607840437734802	0.9642551348162886	0.7016003776368585	0.9551524815014498	0.884975814020647	0.9893993367096916	0.6078637813055598	0.9642921661761172	0.7016273219746194	0.9551891632819834
say		8784	2.698629947603445	0.09539931038999781	0.3853941862672865	187	671	96	7385	21	45	0.029493223471075903	2.2688276597280788	0.01382494850206683	0.006451642634297854	0.26359568477274087	0.3026623246633276	0.9806896191533907	0.3236101098735622	0.9559220703013981	0.6964360410671228	0.9899864361894127	0.3026739481403997	0.9807272816649563	0.3236225378316723	0.9559587816373043
see		8266	2.539489429290765	0.056106045882158964	0.10064069249318995	139	1294	11	5562	18	46	0.0033794318560607804	1.7087636348554602	0.014132169579890537	0.005529979400826732	0.4402478045213726	0.3433561933876208	0.9905028748212352	0.3946350713948234	0.9935858383371943	0.6324091789935713	0.990027296592763	0.3433693796764853	0.9905409142021464	0.39465022700333635	0.9936239961165741
seven		695	0.2135186490874766	0.36140163286093585	0.17281833719992667	0	0	344	0	17	54	0.10568405077135531	0	0.016589938202480194	0.005222758323003025	0	0.7669676317066438	0.9761028084614819	1	0.8681278101127956	1	0.9894693831154353	0.7669970864155908	0.9761402948206671	1	0.8681611497883159
six		1185	0.3640569772210932	0.2884616244165775	0.09581587659519515	0	0	760	0	17	81	0.23348801914601758	0	0.024884907303720293	0.005222758323003025	0	0.6482738851797778	0.9603451321588262	1	0.7334499237323675	1	0.9911624784753224	0.6482987815610807	0.9603820133584845	1	0.7334780912235858
something		5418	1.6645237996488462	0	0	0	0	0	0	315	5092	0	0	1.5643697282783178	0.09677463951446781	0	0.340662839784151	0.34705235361265224	1	1	1	0.8677255699444739	0.34067592263716867	0.3470656818492589	1	1
sound		1150	0.3533042394972634	0.2680732335402169	0.8280516427049734	1	5	24	1048	8	54	0.007373305867768976	0.32196768955924526	0.016589938202480194	0.0024577686225896586	0.001843326466942244	0.6791817353596289	0.9744963494455412	0.7024530972791958	0.9924684752771515	0.9944036608463619	0.996554208391129	0.679207818729396	0.9745337741100984	0.7024800743648953	0.992506590145198
stick		377	0.11582234633953767	0.6704988378880233	0.9441122770137731	7	38	28	182	68	33	0.008602190179063805	0.055914236163914735	0.010138295568182342	0.0208910332920121	0.01382494850206683	0.8530168341789585	0.9850235868982489	0.9217609297738687	0.9870518604540411	0.9782367660680453	0.9695534695244366	0.8530495935309037	0.9850614158519865	0.9217963291815918	0.9870897673018185
take		6186	1.9004695874174535	0.06594238631209083	0.30816727126102134	265	954	34	4569	77	21	0.01044551664600605	1.4036931045765189	0.006451642634297854	0.023656022992425463	0.3745024938670992	0.3410254639087815	0.9914236163914734	0.37373975490703265	0.9851947090385967	0.63582280684352	0.9663230398911202	0.34103856068805577	0.9914616911326447	0.37375410804952214	0.9852325445641278
talk		3308	1.0162873254408238	0.24700449693489074	0.3108913627063535	693	389	70	1974	30	58	0.021505475447659513	0.6064544076239983	0.017818822513775024	0.00921663233471122	0.33241320620525133	0.4200376588588145	0.9752226200735176	0.528040287216597	0.9688078439685578	0.6715625022954615	0.9855225139286342	0.4200537900310792	0.9752600726298516	0.5280605661336325	0.9688450501711275
thing		10666	3.276820016067662	0.0030374168434196946	0.6216097450797567	3	0	0	4	4	10649	0	0.0012288843112948293	3.2715972577446593	0.0012288843112948293	0.000921663233471122	0.26673495921047263	0.2669109711526526	0.9980675794204881	1	0.9989474605873757	0.9987886272901376	0.26674520292906617	0.26692122163082804	0.9981059093171434	1
think		21082	6.476834762679398	0.06011406725929194	0.2768174066593977	155	488	58	20089	2	162	0.017818822513775024	6.171764232400457	0.049769814607440586	0.0006144421556474146	0.19754315304064382	0.2616267795407684	0.93001196626098	0.2667382135451092	0.9700404149327863	0.7670788037425671	0.9990906256096385	0.26163682708427033	0.9300476825424123	0.2667484573886825	0.9700776684711463
