item	gloss	aspect	frequency	rel_freq	flexibility	flexibility_broad	definite	ger	inf	mod	pred	precxn	ref	mod_rel	pred_rel	ref_rel	pred_rel_broad	ref_rel_broad	dispersion	dispersion_ref	dispersion_pred	dispersion_mod	dispersion_ref_broad	dispersion_pred_broad	dispersion_norm	dispersion_ref_norm	dispersion_pred_norm	dispersion_mod_norm
chase		NULL	2	0.0006144421556474146	0	0	0	1	0	0	1	0	0	0	0.0003072210778237073	0	0	0.0003072210778237073	0.9991259560335884	1	0.9991259560335884	1	0.9991259560335884	1	0.9991643265762552	1	0.9991643265762552	1
check		NULL	1	0.0003072210778237073	0	0	0	0	1	0	0	0	0	0	0	0	0	0.0003072210778237073	0.9991259560335884	1	1	1	0.9991259560335884	1	0.9991643265762552	1	1	1
cheese		NULL	1	0.0003072210778237073	0	NaN	0	0	0	0	0	0	1	0	0	0.0003072210778237073	0	0	0.9985738797567393	0.9985738797567393	1	1	1	1	0.9986122290974082	0.9986122290974082	1	1
chepe		NULL	1	0.0003072210778237073	0	NaN	0	0	0	0	0	0	1	0	0	0.0003072210778237073	0	0	0.9985738797567393	0.9985738797567393	1	1	1	1	0.9986122290974082	0.9986122290974082	1	1
child		NULL	2551	0.7837209695282774	0.3259338701855562	0.06680821781755471	0	0	0	283	0	4	2165	0.08694356502410917	0	0.6651336334883263	0.0012288843112948293	0	0.6767530835420386	0.6822026024314358	1	0.9535269747786856	1	0.9977966104298467	0.6767790736415952	0.6822288018149129	1	0.953563594133081
childhood		NULL	4	0.0012288843112948293	0.6309297535714575	0	0	0	0	2	0	0	2	0.0006144421556474146	0	0.0006144421556474146	0	0	0.9991259560335884	0.9991259560335884	1	0.9991259560335884	1	1	0.9991643265762552	0.9991643265762552	1	0.9991643265762552
choose		NULL	4	0.0012288843112948293	0	0	0	0	1	0	3	0	0	0	0.000921663233471122	0	0	0.0003072210778237073	0.9987769528891808	1	0.9987769528891808	1	0.9991259560335884	1	0.9988153100286925	1	0.9988153100286925	1
christmas		NULL	1	0.0003072210778237073	0	NaN	0	0	0	0	0	0	1	0	0	0.0003072210778237073	0	0	0.9995809504498455	0.9995809504498455	1	1	1	1	0.9996193384661677	0.9996193384661677	1	1
cinderella		NULL	3	0.000921663233471122	0	NaN	0	0	0	0	0	0	3	0	0	0.000921663233471122	0	0	0.9991259560335884	0.9991259560335884	1	1	1	1	0.9991643265762552	0.9991643265762552	1	1
civil		NULL	1	0.0003072210778237073	0	0	0	0	0	1	0	0	0	0.0003072210778237073	0	0	0	0	0.9991259560335884	1	1	0.9991259560335884	1	1	0.9991643265762552	1	1	0.9991643265762552
class		NULL	3	0.000921663233471122	0	NaN	0	0	0	0	0	0	3	0	0	0.000921663233471122	0	0	0.9992319473054376	0.9992319473054376	1	1	1	1	0.9992703219186048	0.9992703219186048	1	1
classic		NULL	2	0.0006144421556474146	0	0	0	0	0	2	0	0	0	0.0006144421556474146	0	0	0	0	0.9991259560335884	1	1	0.9991259560335884	1	1	0.9991643265762552	1	1	0.9991643265762552
